validator,precommitCount,address,operatorAddress
Minutemen,155246,2529F20ADF99A758140EA40A1170E893F8C38431,desmosvaloper14dm0zdemeymhayucp7gchuus3k5m344f0p084p
Cyberili,155233,BD9823958294495AB4A913ED5201D4FB2BDB9EAC,desmosvaloper1uj0jfawnrsdwelq5dx2uh3x4tetca3pdask5gg
InchainWorks,155211,056244D79E3349CC899A8AE2AA7A81785D1211CA,desmosvaloper17xf8f0ly5evhawvfz2q9u4pvpjq3spfmmr4xaz
DESMOS-IW,155240,8012D2A4D345BC91FD0795CD7654B2677033CFE3,desmosvaloper1se6x7qs9fq2wjwqpa4e3rt349r6pqcc8wm74ay
KalpaTech,155231,C28B926057A7DD59872FE96757CF74428A5480F3,desmosvaloper1txdthvutrrfzzf9htelcnfz655afu4yh0zhrr2
Masternode24,155197,77134AD98A7693DF50EB3F912F8AC62FB365342B,desmosvaloper1h5f3dywec65v9qulxkmcv3e6yujyh3zm0ghhl3
Winnie the Pooh,154457,F3094FB125F05CDB07B78D1CD563A8AE27C44FE8,desmosvaloper1rmw6ahez753k6j75s063nq8hqlfgp2wvxr2z47
Poseidon,155249,D986DA6092404D46251F58DBC480AE05493763C5,desmosvaloper1uj9c9929scde78wu3u5r99wcavf2fzl7aq3y39
WeStaking,155248,FDAF8A9511132AFFE393DB16870621BBD4F19BFD,desmosvaloper1sscdc90dgwnk456kenk4jst5f5r25dgcg65tc5
astro,46979,CF818644FBC7CC37E1BC8196AB7ED70526D154AF,desmosvaloper1lpw5wg6805h33zdfy2x48c2hlrk7fwc2af9d2l
yun2,154910,BF3D9B73196B2FF771CEB8B4D2F89D0BF6E871CE,desmosvaloper16fy9dt99s7qpaxdkulqwpu5ky0e23hqn297640
Virgo Staking,155178,81EF59C32B3941E878129D0ABA8EA2FDAEFEBF29,desmosvaloper1c3y623kpys5cw6tuustkca7k89kwy95dmkx4g0
Stake Capital,155246,F900167F14A07E8320B5F19D5B0AB9A90C7BC684,desmosvaloper1qmvtu9dn6d8meemrz5gngq8l3tcnz92m9cv49z
mercy,154587,A2B5AFA9DF307AB6C0840EA8CD38BB6812538D6E,desmosvaloper1zl7rshhad272px6qud8n6sf7ekvsd64a6ynps5
witval,155245,0549E17DCCE2AA4BAB0640C70A692389FE081351,desmosvaloper1c6x3ngzedvqva67nx6ay7vsuw8u79ck07yrejh
fruitdealer,155072,D97240DC059C3B2D97D50164FF26934C637B73B5,desmosvaloper1pm5a8rym9qscwdpdgak920dxtgw04eucnjlsfc
ChainodeTech,155234,A5B1180CE3CA8DFA6E546A68D052B1B8947DCAC8,desmosvaloper1cgzcj0jwja032zx7hgjuxruqdvppex3nnh90mt
mujibc,155244,34B5558A6D35621601FA53F5E045B576974C570F,desmosvaloper1k2hy3myatxpzvzqattr2k32a63yp3jysmnvgka
desmosval,155219,5D73ABAEDBF1F047B3E12F8C0CC0BE626C2DE227,desmosvaloper1gwnuwmh089put6hayqdk3n0pnm7ghsl45p7u0u
konstantin,80175,F1169D9DF22641F9A14C042F8535F12BAE733A76,desmosvaloper1yweq7qdx5kpf7mlh8wr7xg2z2u6k5x2nq4xgvf
johndoe,58810,E89BAC97DBD3B8B924A43281EEF40271F33CBEE3,desmosvaloper1q7tzxaag3l36334qqjw0r7gspu4yl0w860xsr6
wood,155228,087AAB5825CA2532C1965BD4F54911FCDE38812E,desmosvaloper1gdlmwxlwerjuqeqvmjvcdsnuwa3xalxhzc364t
blockscape,155144,337C2EB19E89E464A9778D636EF88B4B2F9ED285,desmosvaloper1397mvzsugyk8jakl2wehwysg96rfa6gv04l6k2
DelegaNetworks,155245,333EFD8EB40B810E4B23EB70C21B685AAFDE49E8,desmosvaloper1s05pp00ecv44zxey656x89jdjh3p8j2u3zksmv
lmb,154972,C6F73278ACAA552EE4E569CEEE561B79B86F1100,desmosvaloper1ywg8daj4pxl55rrzg9lhg0r8u0wf303m9j8r6x
Stakin,155246,CEBC68A7C9724561BFDDE5DA923D0FB6952E0170,desmosvaloper14ljlul9x6wuqd7xh70h03n2d87d7zsxn03yvxk
Muhammad_Elsayeh,3806,99CCEB5AF324FB813598C18AB02849C8C6C378B2,desmosvaloper19sypxhyger063lne6tyls42k9eud2qver95z20
shehuimeng,155244,68B434E2E2DD79CC27A4AF06F453E0E647B9513E,desmosvaloper1w59ydz8xck0m7pun53txuyhgmea83n8vweapu2
ITAstakers,155210,9E8D521E034EFFA4D4D024C93291ED5C869726E4,desmosvaloper1u0xqasxgl6qkkckd860pt4xjqryxek4y05jwy6
TomShi,0,AF878A882E90817E2BB1219B85C1FC839468A772,desmosvaloper17t42ywda5df7aspf3gxnwgc7wcay006s882ycq
NodeRunner,84844,6C65A8C3BEFBA899BAE82E855345287F6204CFA3,desmosvaloper1ja7u8juj6mh5yysaptrc03q6tp2zw08q9qngns
novy,155230,653325AE8D4A4F4C504921D06CF5546954410DCF,desmosvaloper168yfpd2t8lvfxwu8lcu0ppuh3kl598g50tg2ay
CNazar,155130,1409214C529661D4EE5CC606E58FB60FB3087989,desmosvaloper18qu3zck8866dsdd87w03la3w4anej2e2l73hca
Mike Snowman Validator,155245,49BF1EB15E4163371E4094F6A8D6B24A61EC6D1C,desmosvaloper1rpurg200edtv6rgvfjuf7j6s8mghnsljg0ygf6
Simply Staking,155241,75C9E55E562D684BE2D8252E2B284A715B4BEA8B,desmosvaloper152dp990japftfdvply2pspeg6dxqaj4s4qyqhc
hpzxk,155200,07E0B07C2146A8F2F5BB388BACFFBE92297E0BA6,desmosvaloper1vqxjne7ra62qm8dylzqjglj9ucgmduee3wc07e
Nodeasy2,155246,D110B8F7FB9F67EEE945C1160D25A439AB8B6798,desmosvaloper1r7p3c6rnqdw69np77kj5k22zffyauq7ly2l5dj
JayB,155247,D9217224EE807192272C5E6F2F8E6E5D356C96E2,desmosvaloper1t0v7ymj7dwe25pp9nh2wuq9u4crmhun7n0wawz
